verse,start_sec,end_sec
1,0.0,34.0
2,34.0,75.0
3,75.0,115.0
4,115.0,156.0
5,156.0,188.85
6,188.85,220.67
7,220.67,262.23
8,262.23,303.57
9,303.57,325.0
10,325.0,366.0
11,366.0,422.15
12,422.15,479.93
13,479.93,534.83
14,534.83,590.87
15,590.87,633.09
16,633.09,681.79
17,681.79,722.07
18,722.07,760.0
19,760.0,801.37
20,801.37,843.47
21,843.47,891.07
22,891.07,919.0
23,919.0,1018.0
24,1018.0,1062.63
25,1062.63,1101.17
26,1101.17,1137.57
27,1137.57,1175.43
28,1175.43,1221.01
29,1221.01,1260.99
30,1260.99,1299.55
31,1299.55,1337.69
32,1337.69,1375.41
33,1375.41,1411.53
34,1411.53,1446.41
35,1446.41,1494.19
36,1494.19,1534.21
37,1534.21,1565.37
38,1565.37,1600.03
39,1600.03,1638.91
40,1638.91,1681.39
41,1681.39,1717.13
42,1717.13,1755.63
43,1755.63,1802.53
44,1802.53,1852.23
45,1852.23,1897.29
46,1897.29,1933.85
47,1933.85,1978.23
48,1978.23,2013.07
49,2013.07,2049.93
50,2049.93,2105.82
51,2105.82,2134.738
52,2134.738,2165.04
53,2165.04,2195.525
54,2195.525,2226.297
